Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
French Guiana,Americas,43938,14710.629,683,228.671,122,298,99.772,5,1.674,1
Madagascar,Africa,43622,157.531,6,0.022,0,960,3.467,0,0,0
Martinique,Americas,42820,11410.603,454,120.981,72,673,179.34,13,3.464,3
Syrian Arab Republic,Eastern Mediterranean,40294,230.243,2227,12.725,0,2457,14.039,82,0.469,0
Sudan,Eastern Mediterranean,40084,91.413,599,1.366,0,2990,6.819,14,0.032,0
Cabo Verde,Africa,38098,6852.318,122,21.943,16,347,62.412,0,0,0
Malta,Europe,37525,7292.582,113,21.96,17,459,89.202,0,0,0
Mauritania,Africa,36820,791.886,270,5.807,37,791,17.012,5,0.108,0
Guyana,Americas,34726,4414.966,753,95.734,118,881,112.008,30,3.814,4
Gabon,Africa,34281,1540.211,1166,52.387,0,219,9.839,10,0.449,0
Lao People's Democratic Republic,Western Pacific,33998,467.29,3383,46.498,392,49,0.673,13,0.179,2
Guinea,Africa,30605,233.043,45,0.343,0,385,2.932,0,0,0
Papua New Guinea,Western Pacific,26731,298.77,2393,26.746,577,329,3.677,32,0.358,4
United Republic of Tanzania,Africa,26034,43.583,0,0,0,724,1.212,0,0,0
Togo,Africa,25950,313.454,114,1.377,14,240,2.899,3,0.036,0
Belize,Americas,24948,6274.206,1441,362.399,180,471,118.452,20,5.03,5
Benin,Africa,24560,202.587,0,0,0,161,1.328,0,0,0
Haiti,Americas,23406,205.27,364,3.192,0,658,5.771,1,0.009,0
Bahamas,Americas,22154,5633.652,228,57.979,62,630,160.206,8,2.034,4
Seychelles,Africa,22102,22473.487,248,252.168,31,114,115.916,0,0,0
Lesotho,Africa,21557,1006.279,67,3.128,0,655,30.575,0,0,0
Somalia,Eastern Mediterranean,21269,133.824,0,0,0,1180,7.425,0,0,0
Mayotte,Africa,20485,7508.751,46,16.861,21,182,66.712,1,0.367,0
Burundi,Africa,19894,167.306,339,2.851,27,14,0.118,0,0,0
Timor-Leste,South-East Asia,19759,1498.659,56,4.247,10,120,9.102,1,0.076,0
Tajikistan,Europe,17486,183.337,2,0.021,0,125,1.311,0,0,0
Mauritius,Africa,17047,1340.417,426,33.497,96,148,11.637,19,1.494,3
Curaçao,Americas,16972,10342.915,106,64.598,17,172,104.819,3,1.828,0
Congo,Africa,16408,297.349,894,16.201,0,239,4.331,17,0.308,0
Aruba,Americas,15765,14765.937,84,78.677,19,170,159.227,0,0,0
Mali,Africa,15742,77.735,177,0.874,44,558,2.755,3,0.015,0
Andorra,Europe,15382,19908.108,56,72.478,0,130,168.252,0,0,0
Burkina Faso,Africa,14793,70.769,153,0.732,0,214,1.024,11,0.053,0
Guam,Western Pacific,14308,8477.559,325,192.564,52,226,133.906,4,2.37,0
Barbados,Americas,13934,4848.717,2149,747.803,381,123,42.801,20,6.96,3
Djibouti,Eastern Mediterranean,13423,1358.603,54,5.466,0,181,18.32,2,0.202,0
Equatorial Guinea,Africa,13097,933.51,257,18.318,0,163,11.618,7,0.499,0
Iceland,Europe,12899,3542.377,443,121.659,72,33,9.063,0,0,0
Nicaragua,Americas,12549,189.432,380,5.736,0,207,3.125,1,0.015,0
Saint Lucia,Americas,12313,6705.441,218,118.719,33,237,129.066,5,2.723,0
South Sudan,Africa,12279,109.695,95,0.849,9,133,1.188,3,0.027,0
Brunei Darussalam,Western Pacific,11542,2638.298,1714,391.79,156,51,11.658,8,1.829,0
Central African Republic,Africa,11518,238.479,49,1.015,40,100,2.07,0,0,0
Jersey,Europe,10567,9802.776,230,213.366,30,80,74.214,1,0.928,0
New Caledonia,Western Pacific,10305,3609.482,538,188.443,92,247,86.515,21,7.356,2
Gambia,Africa,9956,411.972,10,0.414,10,339,14.028,0,0,0
Yemen,Eastern Mediterranean,9617,32.244,150,0.503,21,1831,6.139,38,0.127,10
Isle of Man,Europe,8931,10503.105,588,691.504,114,57,67.034,1,1.176,1
United States Virgin Islands,Americas,7099,6798.181,79,75.652,0,78,74.695,0,0,0
Eritrea,Africa,6788,191.404,24,0.677,8,45,1.269,1,0.028,0
Sierra Leone,Africa,6397,80.193,1,0.013,0,121,1.517,0,0,0
Niger,Africa,6227,25.724,88,0.364,24,206,0.851,2,0.008,1
Guinea-Bissau,Africa,6131,311.534,7,0.356,0,141,7.165,0,0,0
Gibraltar,Europe,5824,17286.516,97,287.911,21,98,290.879,1,2.968,0
Liberia,Africa,5811,114.895,8,0.158,0,287,5.675,1,0.02,0
Grenada,Americas,5790,5145.615,120,106.645,14,193,171.52,4,3.555,0
Bermuda,Americas,5593,8981.421,45,72.262,0,95,152.554,0,0,0
San Marino,Europe,5497,16197.183,24,70.717,7,91,268.136,0,0,0
New Zealand,Western Pacific,5090,105.553,552,11.447,134,28,0.581,0,0,0
Chad,Africa,5069,30.86,4,0.024,0,174,1.059,0,0,0
Saint Vincent and the Grenadines,Americas,4729,4262.665,764,688.661,92,56,50.478,23,20.732,2
Sint Maarten,Americas,4467,10416.958,36,83.951,11,75,174.899,5,11.66,1
Dominica,Americas,4465,6202.164,312,433.388,99,30,41.672,2,2.778,0
Comoros,Africa,4197,482.635,20,2.3,0,147,16.904,0,0,0
Antigua and Barbuda,Americas,3984,4068.254,154,157.257,45,97,99.051,4,4.085,0
Saint Martin,Americas,3888,10057.167,10,25.867,0,37,95.709,0,0,0
Sao Tome and Principe,Africa,3689,1683.253,30,13.689,2,56,25.552,0,0,0
Liechtenstein,Europe,3623,9350.401,34,87.749,0,58,149.689,0,0,0
Monaco,Europe,3387,8630.619,33,84.089,5,35,89.186,0,0,0
Turks and Caicos Islands,Americas,2941,7595.95,36,92.98,5,23,59.404,0,0,0
British Virgin Islands,Americas,2725,9012.137,0,0,0,37,122.367,0,0,0
Bhutan,South-East Asia,2617,339.162,0,0,0,3,0.389,0,0,0
Saint Kitts and Nevis,Americas,2591,4871.033,80,150.399,2,21,39.48,0,0,0
Bonaire,Americas,2326,11121.205,75,358.594,12,19,90.844,0,0,0
Guernsey,Europe,1964,3046.473,166,257.492,34,22,34.125,1,1.551,0
Saint Barthélemy,Americas,1659,16783.005,1,10.116,0,4,40.465,0,0,0
Faroe Islands,Europe,1410,2885.501,87,178.042,26,2,4.093,0,0,0
Cayman Islands,Americas,1136,1728.545,125,190.201,41,2,3.043,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Anguilla,Americas,743,4952.673,99,659.912,45,1,6.666,0,0,0
Greenland,Europe,716,1261.185,71,125.062,16,0,0,0,0,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,289,502.111,7,12.162,0,3,5.212,0,0,0
Falkland Islands (Malvinas),Americas,69,1981.051,0,0,0,0,0,0,0,0
Montserrat,Americas,41,820.164,0,0,0,1,20.004,0,0,0
Saint Pierre and Miquelon,Americas,32,552.2,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,28,892.004,0,0,0,0,0,-1,-31.857,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.912,0,0,0,0,0,0,0,0
Saba,Americas,11,569.064,0,0,0,0,0,0,0,0
Palau,Western Pacific,8,44.218,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,4,7.247,1,1.812,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.977,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.504,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
